f_property_type,f_neighbourhood_cleansed,f_host_response_time,price,n_accommodates,n_bathrooms,n_bedrooms,n_beds,n_review_scores_rating,n_number_of_reviews,n_reviews_per_month,n_minimum_nights,d_baby_bath,d_babysitter_recommendations,d_baking_sheet,d_bathroom_essentials,d_beach_essentials,d_bread_maker,d_building_staff,d_carbon_monoxide_alarm,d_changing_table,d_cleaning_products,d_dining_table,d_drying_rack_for_clothing,d_elevator,d_essentials,d_ethernet_connection,d_extra_pillows_and_blankets,d_fire_extinguisher,d_fire_pit,d_fireplace_guards,d_game_console,d_hangers,d_high_chair,d_host_greets_you,d_hot_water,d_hot_water_kettle,d_indoor_fireplace,d_keypad,d_lake_access,d_laundromat_nearby,d_lock_on_bedroom_door,d_lockbox,d_long_term_stays_allowed,d_luggage_dropoff_allowed,d_microwave,d_outdoor_dining_area,d_outdoor_furniture,d_private_entrance,d_roomdarkening_shades,d_security_cameras_on_property,d_single_level_home,d_smart_lock,d_smoke_alarm,d_waterfront,d_have_kitchen,d_have_stove,d_have_oven,d_refrigerator,d_coffee_machine,d_bbq_equipment,d_free_parking,d_paid_parking,d_bath_tub,d_linens,d_wifi,d_streaming_services,d_tv,d_sound_system,d_shampoo_conditioner,d_body_wash,d_have_washer,d_have_dryer,d_have_iron,d_have_heating,d_cooling,d_balcony,d_garden,d_have_board_game,d_clothing_storage,d_have_breakfast,d_have_cleaning_before_checkout,d_have_workspace,d_cutlary_glasses,d_have_first_aid,d_have_sauna,d_have_fitnessgym,d_family_friendly,d_have_pool,d_have_crib,d_host_is_superhost,d_host_identity_verified,d_instant_bookable,local_price,id,host_id,neighbourhood_cleansed,room_type,property_type,ln_price,d_flag_bedrooms,flag_review_scores_rating,flag_host_acceptance_rate,p_host_acceptance_rate,flag_host_response_rate,p_host_response_rate,flag_host_response_time,flag_days_since_first_review,n_days_since_first_review,flag_reviews_per_month,f_days_since_first_review,f_bathroom,f_bedroom,f_beds,f_review_score_rating,f_number_of_reviews,f_minimum_nights,ln_number_of_reviews,ln_days_since_first_review
Loft,Yarra,1,190.98999999999998,5,3,3,5,4.64,11,0.12,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,269,3241725,1817634,Yarra,Entire home/apt,Loft,5.252221070655063,0,0,0,100,0,100,0,0,2733,0,3,3,3,3,4.5+,2,4,2.4849066497880004,7.913155185928068
Condo,Stonnington,missing,355,6,2,3,6,4.69,17,0.2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,500,3381253,2521909,Stonnington,Entire home/apt,Condo,5.872117789475416,0,0,1,96,1,98,1,0,2562,0,3,2,3,3,4.5+,2,3,2.8903717578961645,7.848543482456679
Loft,Stonnington,1,137.73999999999998,2,1,1,1,4.82,184,2.13,3,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,194,3419343,17237792,Stonnington,Entire home/apt,Loft,4.925367850116552,0,0,0,100,0,100,0,0,2594,0,3,1,1,1,4.5+,3,3,5.220355825078324,7.860956364876389
Serviced_apartment,Port Phillip,3,134.9,6,1,2,4,4.6,82,0.93,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,190,3514344,17696368,Port Phillip,Entire home/apt,Serviced_apartment,4.90453376321371,0,0,0,75,0,100,0,0,2637,0,3,1,2,3,4.5+,3,4,4.418840607796598,7.877397186353287
Condo,Port Phillip,1,109.33999999999999,2,1,1,1,4.96,49,0.54,4,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,154,3514345,4588854,Port Phillip,Entire home/apt,Condo,4.694462293466853,0,0,1,96,0,100,0,0,2707,0,3,1,1,1,4.5+,2,4,3.912023005428146,7.903596289614301
Condo,Melbourne,1,119.99,5,2,2,3,4.86,43,0.66,3,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,169,3860614,2478306,Melbourne,Entire home/apt,Condo,4.787408405976297,0,0,0,97,0,100,0,0,1957,0,3,2,2,3,4.5+,2,3,3.784189633918261,7.579167967396076
Condo,Wyndham,1,219.39,5,2,3,3,4.67,6,0.07,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,309,3912943,494898,Wyndham,Entire home/apt,Condo,5.3908509679509695,0,0,0,88,0,100,0,0,2520,0,3,2,3,3,4.5+,2,2,1.9459101490553132,7.832014180505469
Condo,Port Phillip,3,79.52,2,1,1,1,5,5,0.06,28,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,112,4001156,10061304,Port Phillip,Entire home/apt,Condo,4.376008562348319,0,0,0,100,0,100,0,0,2553,0,3,1,1,1,4.5+,2,4,1.791759469228055,7.845024417241484
Loft,Melbourne,missing,87.33,5,1.5,2,2,4.76,49,0.56,3,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,123,4258210,8523310,Melbourne,Entire home/apt,Loft,4.469694046425642,0,0,1,96,1,98,1,0,2602,0,3,1,2,2,4.5+,2,3,3.912023005428146,7.86403565907245
Condo,Port Phillip,1,48.28,2,1,1,1,4.31,16,0.46,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,68,4413406,436044,Port Phillip,Entire home/apt,Condo,3.8770173962293306,1,0,0,100,0,100,0,0,1050,0,3,1,1,1,0-4.5,2,2,2.833213344056216,6.956545443151569
Condo,Melbourne,3,80.94,3,1,1,2,4.74,182,2.15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,114,4653923,13552259,Melbourne,Entire home/apt,Condo,4.393708139447719,0,0,0,77,0,100,0,0,2543,0,3,1,1,2,4.5+,3,2,5.209486152841421,7.841099765422119
