f_property_type,f_neighbourhood_cleansed,f_host_response_time,price,n_host_response_rate,n_host_acceptance_rate,n_accommodates,n_bathrooms,n_bedrooms,n_beds,n_review_scores_rating,n_number_of_reviews,n_reviews_per_month,n_minimum_nights,n_calculated_host_listings_count,n_days_since,d_reviews_per_month,d_baby_bath,d_babysitter_recommendations,d_baking_sheet,d_bathroom_essentials,d_beach_essentials,d_bread_maker,d_building_staff,d_carbon_monoxide_alarm,d_changing_table,d_cleaning_products,d_dining_table,d_drying_rack_for_clothing,d_elevator,d_essentials,d_ethernet_connection,d_extra_pillows_and_blankets,d_fire_extinguisher,d_fire_pit,d_fireplace_guards,d_game_console,d_hangers,d_high_chair,d_host_greets_you,d_hot_water,d_hot_water_kettle,d_indoor_fireplace,d_keypad,d_lake_access,d_laundromat_nearby,d_lock_on_bedroom_door,d_lockbox,d_long_term_stays_allowed,d_luggage_dropoff_allowed,d_microwave,d_outdoor_dining_area,d_outdoor_furniture,d_private_entrance,d_roomdarkening_shades,d_security_cameras_on_property,d_single_level_home,d_smart_lock,d_smoke_alarm,d_waterfront,d_have_kitchen,d_have_stove,d_have_oven,d_have_refrigeratorfridgefreezer,d_have_coffeenespresso,d_have_bbq_grilbarbecue,d_have_freeon_premisesfreestreet,d_have_paidparking,d_have_bathtubbath_tubhot_tub,d_have_linenscomforts,d_have_wifiinternet,d_have_netflixamazoneapplerokuhbo,d_have_tvhdtv,d_have_speakerssound_system,d_have_shampooconditioner,d_have_body_soapbody_washshower_gel,d_have_washer,d_have_dryer,d_have_iron,d_have_heating,d_have_air_condfan,d_have_patio_or_balconyterrace,d_have_backyardgarden,d_have_board_game,d_have_closetwardrobeclothing_storage,d_have_breakfast,d_have_cleaning_before_checkout,d_have_workspace,d_have_cooking_basicsdishesrice_makertoasterglasses,d_have_first_aid,d_have_sauna,d_have_fitnessgym,d_have_children2551010,d_have_pool,d_have_crib,d_host_is_superhost,d_host_identity_verified,d_instant_bookable,local_price,id,host_id,neighbourhood_cleansed,room_type,property_type
Condo,Melbourne,within an hour,177.5,100,92,4,2,2,2,5,10,2.22,2,24,134,2.22,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,250,51433235,160004102,Melbourne,Entire home/apt,Condo
Loft,Melbourne,within a few hours,176.79,100,100,4,1,1,NA,NA,0,NA,2,2,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,249,51492474,3274107,Melbourne,Entire home/apt,Loft
Condo,Boroondara,within a day,67.45,50,82,4,1,2,2,4,2,0.65,1,1,91,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,95,51493286,406973356,Boroondara,Entire home/apt,Condo
Condo,Melbourne,within an hour,102.24,100,100,5,1,2,2,4.86,7,5.68,1,9,36,5.68,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,144,51548272,231393835,Melbourne,Entire home/apt,Condo
Condo,Melbourne,NA,425.28999999999996,NA,100,6,2.5,3,NA,NA,0,NA,28,4,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,599,51563024,343415005,Melbourne,Entire home/apt,Condo
Condo,Melbourne,NA,212.29,NA,100,4,2,2,3,NA,0,NA,28,4,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,299,51563566,343415005,Melbourne,Entire home/apt,Condo
Serviced_apartment,Melbourne,within an hour,51.12,98,96,2,1,1,2,5,1,0.21,1,5,139,0.21,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,72,51594206,254627785,Melbourne,Entire home/apt,Serviced_apartment
Condo,Melbourne,within a few hours,110.05,87,98,5,1,2,3,3,1,0.43,2,14,69,0.43,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,155,51598262,10248444,Melbourne,Entire home/apt,Condo
Condo,Melbourne,within a few hours,95.14,87,98,5,1,2,3,NA,0,NA,2,14,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,134,51599028,10248444,Melbourne,Entire home/apt,Condo
Condo,Melbourne,within an hour,99.39999999999999,95,95,5,1,2,3,NA,0,NA,2,10,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,140,51617749,109333133,Melbourne,Entire home/apt,Condo
